Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,plx,e_plx,pmRA*,pmDE,logt,e_logt,N,Ref
NGC_2331         ,106.66,27.243,189.715,15.14,0.637,0.037,-0.181,-3.119,8.6,      ,38,MWSC
FSR_1209         ,106.76,-13.801,226.98,-2.865,0.344,0.023,-0.866,1.284,9.12,      ,110,MWSC
Ruprecht_12      ,106.784,-28.266,239.996,-9.34,0.36,0.022,-0.882,3.554,8.695,      ,19,MWSC
Ruprecht_11      ,106.851,-20.795,233.268,-5.968,0.546,0.029,-0.673,1.327,8.8,      ,52,MWSC
FSR_1223         ,106.827,-15.975,228.946,-3.801,0.356,0.022,-0.97,1.566,8.95,      ,46,MWSC
FSR_1202         ,106.865,-12.771,226.11,-2.302,0.268,0.073,-1.578,2.198,9.225,      ,14,MWSC
FSR_1170         ,106.859,-8.868,222.64,-0.514,0.371,0.024,-0.702,-0.131,8.755,0.073,30,MWSC
FSR_1207         ,106.887,-13.297,226.588,-2.524,0.381,0.028,-1.38,1.069,8.335,0.038,67,MWSC
NGC_2338         ,106.967,-5.727,219.901,1.027,0.418,0.022,-0.89,1.239,8.62,      ,38,MWSC
FSR_1212         ,106.875,-14.151,227.343,-2.926,0.235,0.016,-0.896,1.152,8.65,      ,18,MWSC
Ruprecht_13      ,107.005,-25.884,237.919,-8.116,0.378,0.02,-0.704,1.904,8.89,0.026,81,MWSC
FSR_1200         ,106.979,-12.456,225.881,-2.058,0.501,0.03,-0.979,0.626,8.715,      ,78,MWSC
FSR_1111         ,107.03,-1.515,216.185,3.018,0.343,0.024,-0.939,0.234,8.875,      ,31,MWSC
NGC_2343         ,107.036,-10.601,224.259,-1.156,0.902,0.037,0.173,-0.184,8.135,0.164,79,MWSC
NGC_2345         ,107.078,-13.187,226.576,-2.308,0.359,0.023,-1.34,1.378,7.9,      ,141,MWSC
FSR_1219         ,107.121,-15.352,228.521,-3.265,0.447,0.029,-1.008,0.76,8.755,0.027,128,MWSC
FSR_1289         ,107.119,-26.139,238.195,-8.137,0.383,0.024,-1,1.89,8.605,      ,39,MWSC
FSR_1173         ,107.189,-9.432,223.291,-0.484,0.376,0.03,-0.467,-0.322,8.64,      ,26,MWSC
FSR_1113         ,107.287,-1.513,216.302,3.247,0.247,0.075,-0.502,0.407,8.3,      ,23,MWSC
Haffner_23       ,107.365,-16.895,230.003,-3.762,0.498,0.022,-0.659,0.465,8.825,      ,43,MWSC
Berkeley_35      ,107.479,2.736,212.598,5.357,0.27,0.018,-0.633,-0.268,9.065,0.031,38,MWSC
DBSB_3           ,107.57,-18.463,231.49,-4.306,0.493,0.03,-1.646,2.217,7,      ,27,MWSC
ASCC_34          ,107.683,6.067,209.701,7.043,0.233,0.02,-0.925,-0.428,8.53,      ,35,MWSC
Dias_3           ,107.602,-8.381,222.547,0.362,0.248,0.02,-0.859,0.817,8.485,0.23,32,MWSC
FSR_1158         ,107.686,-6.788,221.172,1.172,0.337,0.024,-0.819,0.969,8.555,      ,46,MWSC
Alessi_21        ,107.685,-9.277,223.379,0.022,1.741,0.051,-5.516,2.545,7.7,      ,29,MWSC
FSR_1160         ,107.793,-7.139,221.532,1.104,0.447,0.026,-0.561,-0.039,8.505,      ,36,MWSC
FSR_1091         ,107.885,1.621,213.781,5.211,0.429,0.032,-0.162,-1.348,8.865,0.038,26,MWSC
ASCC_35          ,108.186,2.127,213.466,5.709,0.261,0.134,-0.479,-0.401,8.48,      ,41,MWSC
FSR_1281         ,108.225,-25.224,237.82,-6.836,0.515,0.026,-0.708,1.849,8.68,      ,54,MWSC
NGC_2352         ,108.258,-24.026,236.757,-6.268,0.249,0.019,-0.95,1.686,8.775,      ,41,MWSC
FSR_1183         ,108.357,-9.916,224.252,0.313,0.382,0.023,-1.341,0.861,8.585,0.048,79,MWSC
FSR_1076         ,108.368,3.116,212.663,6.321,0.525,0.013,-0.769,-0.437,8.96,      ,22,MWSC
NGC_2351         ,108.401,-10.48,224.772,0.09,0.467,0.037,-0.779,0.714,9,      ,44,MWSC
Collinder_132    ,108.275,-30.969,243.034,-9.358,0.28,0.013,-0.856,2.643,7.51,      ,51,MWSC
NGC_2354         ,108.512,-25.702,238.367,-6.822,0.763,0.026,-2.829,1.896,8.61,      ,43,MWSC
FSR_1153         ,108.594,-5.661,220.589,2.494,0.314,0.026,-1.293,1.169,8.065,0.176,50,MWSC
FSR_1326         ,108.58,-34.309,246.199,-10.588,0.2,0.075,-0.879,2.296,8.78,0.09,18,MWSC
ASCC_36          ,108.654,-21.07,234.283,-4.594,0.359,0.017,-1.128,1.912,8.33,      ,100,MWSC
NGC_2353         ,108.636,-10.27,224.693,0.392,0.863,0.022,-1.065,0.778,7.2,      ,39,MWSC
FSR_1332         ,108.715,-34.892,246.782,-10.741,0.583,0.031,-1.805,3.678,8.42,0.02,20,MWSC
Ruprecht_14      ,108.723,-31.349,243.55,-9.183,0.347,0.023,-1.114,2.792,9.06,0.038,36,MWSC
FSR_1180         ,108.901,-9.446,224.085,1.007,0.338,0.022,-1.201,1.755,8.675,      ,34,MWSC
Berkeley_36      ,109.084,-13.213,227.502,-0.589,0.25,0.021,-1.715,0.953,9.4,      ,61,MWSC
Alessi_3         ,109.201,-46.677,257.937,-15.324,0.339,0.026,-1.215,3.658,8.87,      ,49,MWSC
NGC_2358         ,109.253,-17.106,231.024,-2.258,1.077,0.032,-1.335,0.563,8.785,      ,92,MWSC
NGC_2355         ,109.249,13.766,203.376,11.812,0.523,0.031,-3.838,-1.058,8.9,      ,133,MWSC
ESO_367-10       ,109.262,-35.281,247.336,-10.507,0.609,0.027,-1.553,2.011,8.315,0.119,23,MWSC
Basel_11A        ,109.3,-13.995,228.292,-0.768,0.71,0.032,-1.597,0.974,7.42,      ,35,MWSC
FSR_1228         ,109.287,-15.786,229.871,-1.615,0.394,0.025,-1.039,1.339,6.75,      ,30,MWSC
NGC_2360         ,109.429,-15.629,229.796,-1.42,0.919,0.027,0.396,5.647,8.65,0.018,175,MWSC
Collinder_135    ,109.458,-37.015,248.996,-11.119,0.213,0.015,-1.09,2.488,7.6,      ,127,MWSC
FSR_1306         ,109.486,-29.002,241.728,-7.542,0.337,0.023,-1.567,2.97,9.09,      ,66,MWSC
Haffner_5        ,109.493,-22.668,236.066,-4.639,0.587,0.031,1.017,-4.021,8.6,      ,83,MWSC
ASCC_37          ,109.523,-24.502,237.713,-5.46,0.425,0.025,-1.1,1.978,8.73,0.059,76,MWSC
FSR_1377         ,109.603,-44.668,256.154,-14.255,0.316,0.021,-1.296,2.756,8.845,0.058,22,MWSC
Teutsch_49       ,109.599,-17.566,231.586,-2.18,0.324,0.163,-0.415,0.277,8.9,      ,38,MWSC
NGC_2362         ,109.696,-24.937,238.174,-5.52,0.784,0.035,-2.714,3.036,6.64,      ,71,MWSC
Bica_4           ,109.754,-22.04,235.62,-4.133,0.304,0.014,-0.823,1.797,8.125,0.14,34,MWSC
Ruprecht_15      ,109.899,-19.626,233.542,-2.89,0.355,0.018,-1.301,2.106,8.75,      ,79,MWSC
FSR_1284         ,110,-24.533,237.941,-5.089,0.405,0.025,-0.884,1.559,9.145,0.059,40,MWSC
Haffner_6        ,110.007,-13.143,227.861,0.238,0.211,0.016,-1.232,1.961,8.865,      ,67,MWSC
NGC_2367         ,110.074,-21.9,235.634,-3.806,0.41,0.03,-0.859,1.435,7.425,0.008,61,MWSC
DBSB_12          ,110.045,-27.774,240.852,-6.545,0.334,0.021,-1.435,2.893,8.47,      ,70,MWSC
Berkeley_37      ,110.077,-0.996,217.127,5.962,0.184,0.017,-1.035,0.691,8.8,      ,42,MWSC
FSR_1118         ,110.229,-0.857,217.073,6.161,0.365,0.019,-1.133,0.262,8.9,      ,42,MWSC
FSR_1255         ,110.226,-19.611,233.674,-2.611,0.492,0.028,-0.97,1.214,8.495,      ,48,MWSC
Saurer_1         ,110.227,1.794,214.699,7.374,0.134,0.11,-0.49,-0.358,9.6,      ,15,MWSC
NGC_2368         ,110.274,-10.317,225.487,1.795,0.309,0.023,-1.074,0.884,8.975,0.044,75,Cantat-Gaudin et al. 2018
FSR_1258         ,110.31,-20.209,234.239,-2.821,0.479,0.03,-1.208,1.903,9.1,      ,125,MWSC
Berkeley_77      ,110.362,-3.227,219.247,5.184,0.265,0.018,-0.97,0.385,8.835,      ,45,MWSC
King_23          ,110.45,-0.979,217.285,6.301,0.285,0.021,-0.526,-0.873,8.95,      ,41,MWSC
FSR_0944         ,110.447,22.502,195.645,16.444,0.521,0.034,-0.802,-2.318,8.7,      ,39,MWSC
FSR_1083         ,110.521,3.542,213.262,8.43,0.55,0.032,-0.676,-1.511,8.81,      ,34,MWSC
FSR_1157         ,110.63,-5.113,221.047,4.544,0.827,0.027,-1.133,-0.15,7.7,      ,10,MWSC
FSR_1252         ,110.65,-18.699,233.055,-1.829,0.279,0.017,-1.774,3.082,8.995,0.027,29,MWSC
FSR_1470         ,110.668,-59.179,270.407,-19.246,0.874,0.038,-3.687,8.226,8.63,      ,25,MWSC
Haffner_7        ,110.735,-29.496,242.673,-6.798,0.288,0.021,-1.53,2.76,9,      ,34,MWSC
Ruprecht_16      ,110.783,-19.484,233.808,-2.088,0.405,0.024,-0.955,1.686,8.65,      ,37,MWSC
Collinder_140    ,111.057,-31.82,244.881,-7.619,0.187,0.015,-1.297,2.445,7.7,      ,87,MWSC
Haffner_8        ,110.785,-12.311,227.484,1.299,0.339,0.024,-1.616,0.476,9.035,0.02,112,Cantat-Gaudin et al. 2018
FSR_1440         ,110.85,-53.919,265.306,-17.197,0.295,0.028,-1.404,3.999,8.76,      ,25,MWSC
Ruprecht_17      ,110.92,-23.183,237.136,-3.715,0.555,0.029,-1.635,1.757,8.325,      ,56,MWSC
Berkeley_78      ,110.912,5.362,211.794,9.599,0.226,0.018,-0.061,-1.173,9.45,      ,44,MWSC
FSR_1293         ,110.982,-25.364,239.096,-4.687,0.556,0.022,-1.737,2.022,9.005,0.038,11,MWSC
NGC_2374         ,111.035,-13.224,228.404,1.082,0.756,0.033,-4.664,0.678,8.75,      ,20,MWSC
FSR_1297         ,111.003,-25.898,239.578,-4.92,0.774,0.037,-1.56,2.202,6.7,      ,56,MWSC
Ivanov_6         ,111.053,-24.644,238.488,-4.292,0.584,0.025,-1.806,2.871,6.6,      ,26,MWSC
FSR_1139         ,111.129,-2.888,219.302,6.019,0.538,0.029,-1.511,-0.255,8.855,0.053,45,MWSC
Ruprecht_18      ,111.163,-26.225,239.936,-4.945,0.409,0.022,-0.511,1.266,8.455,0.023,77,MWSC
NGC_2383         ,111.162,-20.948,235.268,-2.465,0.36,0.019,-1.6,1.989,8.69,0.061,29,MWSC
Haffner_9        ,111.182,-17.005,231.802,-0.583,0.309,0.022,-0.871,0.554,8.15,      ,30,MWSC
FSR_1283         ,111.223,-23.872,237.876,-3.793,0.507,0.032,-1.497,2.051,6.8,      ,105,MWSC
NGC_2384         ,111.276,-21.005,235.368,-2.398,0.352,0.017,-1.416,1.782,7.13,      ,20,MWSC
FSR_1142         ,111.279,-2.901,219.384,6.146,0.547,0.025,-1.259,-0.239,9.1,      ,33,MWSC
Ruprecht_19      ,111.466,-21.561,235.942,-2.505,0.381,0.024,-1.195,1.602,8,      ,58,MWSC
FSR_1270         ,111.531,-21.184,235.639,-2.273,0.518,0.029,-1.528,1.955,8.7,      ,96,MWSC
Waterloo_7       ,111.575,-15.085,230.291,0.661,0.312,0.02,-1.587,1.719,8.53,0.032,29,MWSC
FSR_1253         ,111.571,-18.431,233.233,-0.933,0.283,0.017,-2.059,1.96,8.64,      ,43,MWSC
Melotte_66       ,111.544,-47.688,259.564,-14.284,0.192,0.014,-1.426,2.768,9.365,      ,112,MWSC
Trumpler_6       ,111.615,-24.2,238.336,-3.632,0.424,0.022,-1.399,1.914,8.615,0.056,114,MWSC
Ruprecht_20      ,111.646,-28.796,242.419,-5.769,0.442,0.025,-1.528,2.591,9.4,      ,61,MWSC
Ruprecht_21      ,111.74,-31.133,244.538,-6.785,0.275,0.02,-1.077,2.429,8.65,      ,95,MWSC
DC_3             ,111.774,-37.529,250.294,-9.695,0.186,0.052,-1.347,2.914,9.26,      ,20,MWSC
ASCC_38          ,111.732,-5.547,221.948,5.31,0.224,0.116,-0.67,0.078,8.6,      ,22,MWSC
Trumpler_7       ,111.86,-23.941,238.213,-3.313,0.585,0.031,-2.463,3.343,8,0.001,74,MWSC
IRAS_07255-2012  ,111.91,-20.313,235.041,-1.547,0.373,0.03,-1.443,2.032,6,      ,50,MWSC
FSR_1275         ,111.973,-21.776,236.355,-2.193,0.297,0.025,-1.415,2.018,9.4,      ,98,MWSC
FSR_1260         ,112.127,-19.681,234.582,-1.067,0.46,0.033,-1.653,2.003,8.3,      ,77,MWSC
Haffner_10       ,112.143,-15.367,230.8,1.009,0.265,0.02,-1.2,1.591,9.305,      ,81,MWSC
ESO_559-13       ,112.168,-20.813,235.596,-1.573,0.481,0.022,-1.324,1.786,8.905,0.034,45,MWSC
Haffner_24       ,112.229,-18.31,233.424,-0.327,0.381,0.022,-1.634,2.024,8.535,0.002,44,MWSC
Ruprecht_22      ,112.344,-29.178,243.047,-5.408,0.465,0.022,-1.099,2.575,9.03,      ,47,MWSC
NGC_2401         ,112.369,-13.97,229.677,1.869,0.395,0.03,-1.351,1.178,7,      ,55,MWSC
DBSB_6           ,112.492,-19.086,234.224,-0.479,0.392,0.029,-1.999,2.343,6.55,      ,39,MWSC
Dolidze_26       ,112.559,11.863,206.557,13.914,0.387,0.024,-0.585,-1.684,8.475,0.143,49,MWSC
Ruprecht_23      ,112.65,-23.381,238.066,-2.409,0.38,0.024,-2.021,1.682,8.78,      ,72,MWSC
Ivanov_7         ,112.675,-15.297,230.984,1.492,0.359,0.024,-1.492,1.705,8.7,0.046,55,MWSC
FSR_1234         ,112.803,-15.401,231.135,1.551,0.404,0.026,-1.336,1.573,8.44,      ,52,MWSC
Czernik_30       ,112.794,-9.938,226.328,4.16,0.218,0.017,-0.846,0.506,9.2,      ,32,MWSC
Bochum_4         ,112.91,-17.201,232.763,0.775,0.665,0.033,-1.878,2.02,8.41,0.008,46,MWSC
DBSB_9           ,112.959,-19.386,234.699,-0.237,0.553,0.019,-2.947,2.515,6,      ,14,MWSC
FSR_1227         ,112.963,-13.827,229.828,2.443,0.416,0.028,-1.462,1.432,8.975,0.013,62,MWSC
Ruprecht_24      ,113.003,-12.777,228.925,2.981,0.494,0.024,-0.773,0.46,8.65,      ,32,MWSC
ASCC_39          ,113.347,-22.997,238.037,-1.663,0.503,0.028,-2.187,3.246,8.71,      ,16,MWSC
NGC_2413         ,113.223,-12.977,229.204,3.073,0.495,0.024,-1.237,0.71,8.655,      ,57,MWSC
NGC_2414         ,113.29,-15.455,231.408,1.937,0.208,0.016,-1.387,1.437,7.27,      ,43,MWSC
ESO_429-02       ,113.377,-28.175,242.594,-4.134,0.448,0.022,-2.343,3.334,6.9,      ,19,MWSC
Ruprecht_40      ,113.357,-20.5,235.856,-0.447,0.516,0.029,-1.447,2.118,8.265,      ,29,MWSC
ASCC_40          ,113.408,-13.752,229.97,2.858,0.312,0.027,-1.54,1.568,8.8,      ,73,MWSC
FSR_1264         ,113.456,-19.819,235.305,-0.037,0.419,0.019,-1.656,1.883,8.615,      ,35,MWSC
FSR_1302         ,113.588,-26.318,241.053,-3.075,0.291,0.018,-2.279,3.237,9.1,0.042,48,MWSC
FSR_1243         ,113.638,-15.933,231.989,1.998,0.434,0.028,-1.766,1.328,6.7,      ,82,MWSC
Teutsch_61       ,113.655,-19.789,235.369,0.142,0.368,0.025,-2.259,3.111,8.215,0.042,44,MWSC
Alessi_17        ,113.852,-15.093,231.353,2.586,0.446,0.019,-1.501,1.642,8.22,      ,48,MWSC
DBSB_10          ,113.869,-22.386,237.736,-0.946,0.588,0.022,-1.903,2.153,6.5,      ,48,MWSC
Haffner_11       ,113.85,-27.714,242.391,-3.546,0.217,0.014,-1.515,3.22,8.945,0.038,44,MWSC
DBSB_7           ,113.876,-18.753,234.565,0.828,0.416,0.03,-1.755,2.405,7.495,      ,34,MWSC
FSR_1268         ,113.945,-19.785,235.499,0.382,0.517,0.026,-1.79,2.141,8.62,      ,30,MWSC
NGC_2421         ,114.053,-20.621,236.278,0.064,0.375,0.019,-3.106,3.135,7.45,      ,83,MWSC
NGC_2422         ,114.132,-14.472,230.941,3.124,2.096,0.041,-7.069,1.04,8.12,      ,189,MWSC
Riddle_5         ,114.199,-24.653,239.864,-1.785,0.394,0.027,-1.782,2.462,8.765,      ,36,MWSC
Czernik_31       ,114.25,-20.528,236.287,0.27,0.352,0.025,-1.933,2.962,8.25,      ,30,MWSC
ESO_429-05       ,114.265,-32.219,246.522,-5.406,0.12,0.077,-1.3,1.97,9.09,0.027,22,MWSC
NGC_2423         ,114.279,-13.877,230.49,3.537,1.055,0.027,-0.731,-3.592,9.025,0.014,146,MWSC
Alessi_18        ,114.288,-26.376,241.409,-2.556,0.435,0.035,-1.737,2.357,9.01,      ,42,MWSC
Ruprecht_26      ,114.315,-15.678,232.083,2.692,0.398,0.02,-1.284,2.788,7.8,      ,23,MWSC
Ruprecht_27      ,114.455,-26.464,241.559,-2.468,0.453,0.013,-1.355,2.048,8.41,      ,53,MWSC
Melotte_71       ,114.383,-12.074,228.959,4.501,0.438,0.025,-2.387,4.202,8.975,      ,243,MWSC
NGC_2425         ,114.567,-14.884,231.507,3.291,0.331,0.024,-3.56,2.022,9.34,      ,75,MWSC
NGC_2420         ,114.604,21.587,198.097,19.646,0.394,0.026,-1.234,-2.04,9.365,0.016,244,MWSC
Melotte_72       ,114.619,-10.708,227.872,5.365,0.374,0.024,-4.161,3.683,8.865,      ,61,MWSC
Arp-Madore_2     ,114.654,-33.853,248.119,-5.909,0.285,0.012,-0.795,1.432,9.335,      ,26,MWSC
FSR_1327         ,114.852,-31.717,246.324,-4.727,0.413,0.032,-1.749,3.252,8.51,      ,33,MWSC
NGC_2428         ,114.833,-16.535,233.075,2.707,0.72,0.025,-3.266,2.463,8.615,0.039,46,MWSC
NGC_2430         ,114.868,-16.374,232.951,2.815,0.612,0.022,-2.191,1.388,7.7,      ,30,MWSC
Ruprecht_28      ,114.895,-30.937,245.658,-4.316,0.243,0.016,-2.503,3.851,8.76,      ,42,MWSC
ESO_493-03       ,114.928,-27.298,242.493,-2.508,0.423,0.026,-1.865,2.205,8.385,      ,94,MWSC
FSR_1152         ,115.046,-2.09,220.434,9.853,0.502,0.031,-1.932,-0.049,8.6,      ,41,MWSC
Haffner_13       ,115.061,-30.024,244.93,-3.744,0.307,0.022,-1.283,2.13,7.52,0.275,59,MWSC
NGC_2439         ,115.178,-31.7,246.445,-4.477,0.265,0.018,-2.248,3.184,7.25,      ,124,MWSC
ESO_429-13       ,115.253,-30.717,245.616,-3.939,0.269,0.014,-1.311,2.603,9.02,0.036,30,MWSC
NGC_2451A        ,115.214,-38.34,252.302,-7.673,0.302,0.017,-1.82,3.507,7.76,      ,96,MWSC
Ruprecht_151     ,115.318,-16.285,233.085,3.235,0.868,0.033,-4.288,3.137,8.15,      ,18,MWSC
NGC_2432         ,115.22,-19.07,235.465,1.781,0.539,0.027,-0.697,1.608,8.65,      ,59,MWSC
Ruprecht_29      ,115.294,-24.379,240.115,-0.783,0.442,0.024,-2.13,1.646,8.6,      ,37,Cantat-Gaudin et al. 2018
FSR_1211         ,115.354,-9.637,227.283,6.517,0.285,0.021,-3.143,2.583,9.135,      ,14,MWSC
NGC_2437         ,115.424,-14.835,231.871,4.037,0.61,0.027,-3.85,0.403,8.35,      ,371,MWSC
FSR_1320         ,115.56,-29.23,244.451,-2.975,0.334,0.022,-1.735,2.315,8.88,      ,33,MWSC
Ruprecht_30      ,115.602,-31.468,246.42,-4.048,0.478,0.03,-1.872,3.191,8.725,      ,58,MWSC
FSR_1145         ,115.67,-1.018,219.769,10.906,0.447,0.022,-2.336,0.696,7.9,      ,10,MWSC
Ruprecht_31      ,115.743,-35.584,250.077,-5.966,0.4,0.025,-1.152,2.11,8.65,      ,30,MWSC
FSR_1203         ,115.912,-8.032,226.136,7.777,0.419,0.027,-1.626,0.733,9.265,      ,53,MWSC
ESO_368-11       ,116.101,-34.634,249.39,-5.245,0.458,0.026,-0.889,2.268,8.945,      ,34,MWSC
NGC_2451B        ,116.099,-37.644,252.026,-6.725,0.319,0.028,-1.333,2.774,8.23,      ,130,MWSC
NGC_2448         ,116.093,-24.673,240.731,-0.298,0.726,0.022,-2.033,2.329,7.25,      ,63,MWSC
NGC_2447         ,116.142,-23.846,240.037,0.154,0.992,0.026,-3.542,5.101,8.68,0.022,179,MWSC
FSR_1176         ,116.155,-5.158,223.707,9.372,0.39,0.027,-1.876,-0.073,8.65,      ,38,MWSC
Haffner_14       ,116.185,-28.391,243.994,-2.083,0.253,0.019,-1.817,1.785,8.785,0.035,52,MWSC
Haffner_15       ,116.38,-32.835,247.937,-4.153,0.274,0.018,-2.178,3.344,7.28,      ,66,MWSC
Ruprecht_34      ,116.518,-20.379,237.209,2.19,0.594,0.028,-1.628,1.744,9.1,      ,34,MWSC
FSR_1351         ,116.473,-34.333,249.28,-4.83,0.265,0.016,-2.068,3.102,8.2,      ,45,MWSC
Ruprecht_33      ,116.46,-21.926,238.521,1.368,0.425,0.022,-1.366,0.089,8.81,      ,21,MWSC
Ruprecht_35      ,116.564,-31.278,246.663,-3.241,0.393,0.018,-2.287,3.048,8.44,0.032,47,MWSC
FSR_1352         ,116.6,-34.274,249.281,-4.71,0.325,0.022,-2.092,2.919,8.28,      ,62,MWSC
Berkeley_39      ,116.7,-4.675,223.541,10.08,0.243,0.017,-1.737,-1.63,9.5,      ,80,MWSC
ASCC_41          ,116.783,0.063,219.324,12.395,0.291,0.017,-0.882,-0.664,8.7,      ,32,MWSC
ESO_368-14       ,116.76,-32.979,248.222,-3.948,0.26,0.019,-2.257,3.29,8.65,      ,23,MWSC
NGC_2453         ,116.907,-27.186,243.272,-0.927,0.31,0.022,-2.058,2.765,7.865,      ,17,MWSC
FSR_1350         ,116.955,-34.035,249.219,-4.336,0.298,0.02,-2.097,3.127,8.6,      ,48,MWSC
FSR_1064         ,116.949,8.868,211.286,16.52,0.672,0.035,-1.53,-1.396,8.025,      ,56,MWSC
FSR_1347         ,116.989,-33.713,248.955,-4.15,0.297,0.018,-2.169,3.118,8.02,0.191,48,MWSC
Ruprecht_36      ,117.097,-26.285,242.581,-0.325,0.387,0.025,-2.735,1.211,8.28,      ,14,MWSC
Teutsch_25       ,117.119,-27.899,243.983,-1.124,0.372,0.027,-2.438,3.148,9.26,      ,27,MWSC
Haffner_25       ,117.181,-25.953,242.332,-0.092,0.4,0.027,-2.336,2.304,8.46,0.036,51,MWSC
FSR_1315         ,117.194,-26.964,243.21,-0.594,0.418,0.03,-1.97,2.416,8.7,      ,48,MWSC
FSR_1249         ,117.171,-14.707,232.599,5.568,0.453,0.029,-2.208,1.537,8.505,0.002,30,MWSC
NGC_2455         ,117.266,-21.29,238.349,2.336,0.328,0.016,-2.787,2.716,8.72,      ,37,MWSC
ESO_311-14       ,117.35,-42.683,256.929,-8.362,0.422,0.024,-1.602,3,7.74,      ,34,MWSC
Ruprecht_37      ,117.493,-17.218,234.936,4.577,0.447,0.03,-1.691,1.55,9.3,      ,25,MWSC
FSR_1245         ,117.488,-14.047,232.179,6.164,0.42,0.031,-2.087,1.457,9.17,0.067,28,MWSC
Haffner_16       ,117.584,-25.453,242.086,0.475,0.342,0.021,-2.775,2.914,7.3,      ,21,MWSC
Ruprecht_38      ,117.618,-20.19,237.566,3.177,0.378,0.028,-1.711,1.906,8.73,0.028,59,MWSC
Czernik_32       ,117.625,-29.864,245.902,-1.739,0.282,0.02,-2.98,2.464,9,0.017,67,MWSC
FSR_1361         ,117.681,-36.398,251.569,-5.01,0.378,0.021,-2.498,4.048,8.49,0.062,63,MWSC
FSR_1294         ,117.773,-22.098,239.286,2.332,0.327,0.024,-1.704,1.849,9.215,      ,20,MWSC
Haffner_17       ,117.882,-31.808,247.688,-2.539,0.274,0.018,-1.188,1.879,8.17,0.061,75,MWSC
SAI_81           ,118.016,-28.129,244.584,-0.559,0.238,0.016,-2.09,2.997,8.13,0.075,49,MWSC
NGC_2477         ,118.042,-38.535,253.568,-5.84,0.692,0.024,-2.423,0.906,8.915,0.007,443,MWSC
ESO_123-26       ,118.074,-60.4,273.153,-16.326,1.04,0.036,-3.665,11.065,8.53,      ,22,MWSC
SAI_82           ,118.11,-33.052,248.858,-3.008,0.643,0.046,-2.008,2.763,8.65,      ,28,MWSC
Ruprecht_39      ,118.084,-22.455,239.739,2.397,0.476,0.026,-1.884,1.678,8.4,      ,60,MWSC
Haffner_18       ,118.176,-26.399,243.171,0.449,0.205,0.016,-2.522,2.681,7.9,      ,71,Cantat-Gaudin et al. 2018
ASCC_42          ,118.212,-53.014,266.415,-12.855,1.433,0.036,-5.314,9.05,8.15,      ,23,MWSC
ASCC_43          ,118.265,-28.205,244.762,-0.41,0.434,0.022,-1.991,2.161,8.215,      ,82,MWSC
FSR_1133         ,118.24,1.727,218.507,14.458,0.482,0.026,-1.878,-0.243,8.18,0.041,26,MWSC
FSR_1102         ,118.397,5.722,214.891,16.42,0.513,0.029,-2.167,-0.52,8.77,0.059,32,MWSC
FSR_1298         ,118.415,-22.345,239.802,2.716,0.361,0.024,-2.314,2.03,8.435,0.059,37,MWSC
Ruprecht_41      ,118.441,-26.973,243.785,0.357,0.246,0.018,-2.56,3.601,8.865,      ,24,MWSC
NGC_2479         ,118.77,-17.749,236.016,5.357,0.603,0.026,-4.34,1.079,9.015,0.016,44,MWSC
Waterloo_3       ,118.772,-25.368,242.563,1.439,0.292,0.025,-2.157,2.572,8.5,      ,31,MWSC
NGC_2482         ,118.793,-24.279,241.64,2.018,0.743,0.028,-4.641,2.255,8.505,0.086,41,MWSC
NGC_2483         ,118.924,-27.918,244.815,0.236,0.388,0.027,-1.895,2.522,7.6,      ,45,MWSC
Trumpler_9       ,118.92,-25.88,243.071,1.289,0.375,0.021,-3.381,3.082,7.8,      ,27,MWSC
Haffner_20       ,119.04,-30.375,246.969,-0.952,0.426,0.03,-2.251,3.102,8.055,      ,65,MWSC
NGC_2489         ,119.071,-30.055,246.709,-0.762,0.502,0.023,-2.53,2.169,7.315,      ,72,MWSC
Ruprecht_42      ,119.42,-25.954,243.367,1.635,0.444,0.026,-2.381,2.363,8.7,      ,56,MWSC
FSR_1342         ,119.484,-31.51,248.136,-1.217,0.407,0.02,-2.293,2.776,8.29,      ,68,MWSC
Turner_12        ,119.488,-29.275,246.232,-0.048,0.278,0.022,-2.092,2.842,8.49,      ,57,MWSC
NGC_2516         ,119.489,-60.799,273.852,-15.889,2.429,0.042,-4.632,11.213,8.475,      ,306,MWSC
Kronberger_85    ,119.58,-34.787,250.976,-2.858,0.525,0.047,-2.335,2.945,8.5,      ,43,MWSC
FSR_1084         ,119.672,8.078,213.265,18.599,0.378,0.031,-1.043,-1.498,8.8,      ,23,MWSC
Ruprecht_44      ,119.721,-28.584,245.749,0.488,0.208,0.014,-2.312,2.918,6.8,      ,38,MWSC
FSR_1087         ,119.711,7.912,213.44,18.561,0.418,0.03,-0.959,-1.721,9,      ,19,MWSC
ESO_494-09       ,119.788,-27.602,244.945,1.054,0.416,0.021,-2.174,2.832,8.735,      ,53,MWSC
Ruprecht_43      ,119.844,-28.857,246.039,0.437,0.381,0.02,-2.01,2.165,8.4,      ,32,MWSC
ESO_561-05       ,119.846,-22.689,240.782,3.669,0.397,0.024,-2.093,2.055,9,      ,76,MWSC
FSR_1336         ,119.866,-30.723,247.637,-0.527,0.367,0.022,-2.498,2.843,8.635,0.064,59,MWSC
