Seq,Cluster,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,GLON,GLAT,plx,e_plx,u_plx,pmRA*,e_pmRA*,pmDE,e_pmDE,logt,e_logt,RV,s_RV,e_RV,o_RV,N,Ref,SimbadName
799,ESO_429-13       ,115.253,0.081,-30.717,0.063,245.616,-3.939,0.269,0.014,1,-1.311,0.137,2.603,0.268,9.02,0.036,60.86,      ,0.05,1,30,MWSC                     ,ESO 429-13               
800,NGC_2451A        ,115.214,0.899,-38.34,0.601,252.302,-7.673,0.302,0.017,1,-1.82,0.11,3.507,0.158,7.76,      ,62.59,      ,0.14,1,96,MWSC                     ,NGC 2451A                
801,Ruprecht_151     ,115.318,0.062,-16.285,0.058,233.085,3.235,0.868,0.033,1,-4.288,0.123,3.137,0.099,8.15,      ,       ,      ,     ,  ,18,MWSC                     ,Ruprecht 151             
802,NGC_2432         ,115.22,0.059,-19.07,0.046,235.465,1.781,0.539,0.027,1,-0.697,0.029,1.608,0.032,8.65,      ,50.44,      ,0.04,1,59,MWSC                     ,NGC 2432                 
803,Ruprecht_29      ,115.294,0.076,-24.379,0.044,240.115,-0.783,0.442,0.024,1,-2.13,0.008,1.646,0.012,8.6,      ,       ,      ,     ,  ,37,Cantat-Gaudin et al. 2018,Ruprecht 29              
804,FSR_1211         ,115.354,0.065,-9.637,0.041,227.283,6.517,0.285,0.021,1,-3.143,0.03,2.583,0.013,9.135,      ,       ,      ,     ,  ,14,MWSC                     ,[FSR2007] 1211           
805,NGC_2437         ,115.424,0.181,-14.835,0.179,231.871,4.037,0.61,0.027,1,-3.85,0.006,0.403,0.006,8.35,      ,28.76,      ,0.51,1,371,MWSC                     ,NGC 2437                 
806,FSR_1320         ,115.56,0.043,-29.23,0.037,244.451,-2.975,0.334,0.022,1,-1.735,0.149,2.315,0.197,8.88,      ,       ,      ,     ,  ,33,MWSC                     ,[FSR2007] 1320           
807,Ruprecht_30      ,115.602,0.066,-31.468,0.058,246.42,-4.048,0.478,0.03,1,-1.872,0.19,3.191,0.236,8.725,      ,47.39,      ,0.17,1,58,MWSC                     ,Ruprecht 30              
808,FSR_1145         ,115.67,0.054,-1.018,0.103,219.769,10.906,0.447,0.022,1,-2.336,0.638,0.696,0.486,7.9,      ,       ,      ,     ,  ,10,MWSC                     ,[FSR2007] 1145           
809,Ruprecht_31      ,115.743,0.071,-35.584,0.052,250.077,-5.966,0.4,0.025,1,-1.152,0.163,2.11,0.226,8.65,      ,       ,      ,     ,  ,30,MWSC                     ,Ruprecht 31              
810,FSR_1203         ,115.912,0.079,-8.032,0.071,226.136,7.777,0.419,0.027,1,-1.626,0.136,0.733,0.113,9.265,      ,76.21,      ,0.05,1,53,MWSC                     ,[FSR2007] 1203           
812,NGC_2451B        ,116.099,0.284,-37.644,0.204,252.026,-6.725,0.319,0.028,1,-1.333,0.054,2.774,0.088,8.23,      ,       ,      ,     ,  ,130,MWSC                     ,NGC 2451B                
813,NGC_2448         ,116.093,0.083,-24.673,0.089,240.731,-0.298,0.726,0.022,1,-2.033,0.244,2.329,0.272,7.25,      ,       ,      ,     ,  ,63,MWSC                     ,NGC 2448                 
814,NGC_2447         ,116.142,0.163,-23.846,0.161,240.037,0.154,0.992,0.026,1,-3.542,0.011,5.101,0.012,8.68,0.022,24.07,0.19,0.02,11,179,MWSC                     ,NGC 2447                 
815,FSR_1176         ,116.155,0.07,-5.158,0.063,223.707,9.372,0.39,0.027,1,-1.876,0.158,-0.073,0.16,8.65,      ,75.85,5.19,0.84,6,38,MWSC                     ,[FSR2007] 1176           
816,Haffner_14       ,116.185,0.06,-28.391,0.07,243.994,-2.083,0.253,0.019,1,-1.817,0.026,1.785,0.029,8.785,0.035,71.51,0.25,0.09,2,52,MWSC                     ,Haffner 14               
817,Haffner_15       ,116.38,0.06,-32.835,0.048,247.937,-4.153,0.274,0.018,1,-2.178,0.036,3.344,0.078,7.28,      ,       ,      ,     ,  ,66,MWSC                     ,Haffner 15               
818,Ruprecht_34      ,116.518,0.054,-20.379,0.066,237.209,2.19,0.594,0.028,1,-1.628,0.3,1.744,0.297,9.1,      ,42.17,      ,0.06,1,34,MWSC                     ,Ruprecht 34              
819,FSR_1351         ,116.473,0.066,-34.333,0.06,249.28,-4.83,0.265,0.016,1,-2.068,0.064,3.102,0.081,8.2,      ,       ,      ,     ,  ,45,MWSC                     ,[FSR2007] 1351           
820,Ruprecht_33      ,116.46,0.058,-21.926,0.036,238.521,1.368,0.425,0.022,1,-1.366,0.035,0.089,0.045,8.81,      ,       ,      ,     ,  ,21,MWSC                     ,Ruprecht 33              
821,Ruprecht_35      ,116.564,0.067,-31.278,0.052,246.663,-3.241,0.393,0.018,1,-2.287,0.065,3.048,0.108,8.44,0.032,88.02,      ,0.11,1,47,MWSC                     ,Ruprecht 35              
822,FSR_1352         ,116.6,0.073,-34.274,0.06,249.281,-4.71,0.325,0.022,1,-2.092,0.093,2.919,0.139,8.28,      ,       ,      ,     ,  ,62,MWSC                     ,[FSR2007] 1352           
823,Berkeley_39      ,116.7,0.05,-4.675,0.054,223.541,10.08,0.243,0.017,1,-1.737,0.01,-1.63,0.008,9.5,      ,59.86,0.2,0.08,2,80,MWSC                     ,Berkeley 39              
824,ASCC_41          ,116.783,0.108,0.063,0.142,219.324,12.395,0.291,0.017,1,-0.882,0.265,-0.664,0.257,8.7,      ,36,      ,0.35,1,32,MWSC                     ,[KPR2005] 41             
826,NGC_2453         ,116.907,0.035,-27.186,0.042,243.272,-0.927,0.31,0.022,1,-2.058,0.213,2.765,0.258,7.865,      ,       ,      ,     ,  ,17,MWSC                     ,NGC 2453                 
827,FSR_1350         ,116.955,0.061,-34.035,0.064,249.219,-4.336,0.298,0.02,1,-2.097,0.146,3.127,0.188,8.6,      ,       ,      ,     ,  ,48,MWSC                     ,[FSR2007] 1350           
828,FSR_1064         ,116.949,0.08,8.868,0.085,211.286,16.52,0.672,0.035,1,-1.53,0.296,-1.396,0.308,8.025,      ,       ,      ,     ,  ,56,MWSC                     ,[FSR2007] 1064           
829,FSR_1347         ,116.989,0.084,-33.713,0.055,248.955,-4.15,0.297,0.018,1,-2.169,0.043,3.118,0.084,8.02,0.191,       ,      ,     ,  ,48,MWSC                     ,[FSR2007] 1347           
830,Ruprecht_36      ,117.097,0.055,-26.285,0.031,242.581,-0.325,0.387,0.025,1,-2.735,0.068,1.211,0.127,8.28,      ,       ,      ,     ,  ,14,MWSC                     ,Ruprecht 36              
831,Teutsch_25       ,117.119,0.037,-27.899,0.035,243.983,-1.124,0.372,0.027,1,-2.438,0.163,3.148,0.252,9.26,      ,       ,      ,     ,  ,27,MWSC                     ,Teutsch 25               
832,Haffner_25       ,117.181,0.049,-25.953,0.043,242.332,-0.092,0.4,0.027,1,-2.336,0.125,2.304,0.159,8.46,0.036,50.65,3.32,0.47,2,51,MWSC                     ,Haffner 25               
833,FSR_1315         ,117.194,0.05,-26.964,0.049,243.21,-0.594,0.418,0.03,1,-1.97,0.108,2.416,0.209,8.7,      ,88.84,10.58,1.53,2,48,MWSC                     ,[FSR2007] 1315           
834,FSR_1249         ,117.171,0.046,-14.707,0.044,232.599,5.568,0.453,0.029,1,-2.208,0.236,1.537,0.223,8.505,0.002,57.51,      ,0.72,1,30,MWSC                     ,[FSR2007] 1249           
835,NGC_2455         ,117.266,0.067,-21.29,0.043,238.349,2.336,0.328,0.016,1,-2.787,0.037,2.716,0.033,8.72,      ,69.33,0.05,0.07,2,37,MWSC                     ,NGC 2455                 
836,ESO_311-14       ,117.35,0.092,-42.683,0.053,256.929,-8.362,0.422,0.024,1,-1.602,0.183,3,0.241,7.74,      ,       ,      ,     ,  ,34,MWSC                     ,ESO 311-14               
837,Ruprecht_37      ,117.493,0.034,-17.218,0.046,234.936,4.577,0.447,0.03,1,-1.691,0.169,1.55,0.224,9.3,      ,       ,      ,     ,  ,25,MWSC                     ,Ruprecht 37              
838,FSR_1245         ,117.488,0.039,-14.047,0.064,232.179,6.164,0.42,0.031,1,-2.087,0.137,1.457,0.208,9.17,0.067,41.13,      ,0.11,1,28,MWSC                     ,[FSR2007] 1245           
839,Haffner_16       ,117.584,0.035,-25.453,0.041,242.086,0.475,0.342,0.021,1,-2.775,0.092,2.914,0.091,7.3,      ,       ,      ,     ,  ,21,MWSC                     ,Haffner 16               
840,Ruprecht_38      ,117.618,0.071,-20.19,0.054,237.566,3.177,0.378,0.028,1,-1.711,0.097,1.906,0.138,8.73,0.028,       ,      ,     ,  ,59,MWSC                     ,Ruprecht 38              
841,Czernik_32       ,117.625,0.061,-29.864,0.06,245.902,-1.739,0.282,0.02,1,-2.98,0.022,2.464,0.025,9,0.017,74.65,      ,0.18,1,67,MWSC                     ,Czernik 32               
842,FSR_1361         ,117.681,0.063,-36.398,0.042,251.569,-5.01,0.378,0.021,1,-2.498,0.025,4.048,0.024,8.49,0.062,66.56,0.39,0.12,7,63,MWSC                     ,[FSR2007] 1361           
843,FSR_1294         ,117.773,0.057,-22.098,0.038,239.286,2.332,0.327,0.024,1,-1.704,0.137,1.849,0.132,9.215,      ,       ,      ,     ,  ,20,MWSC                     ,[FSR2007] 1294           
844,Haffner_17       ,117.882,0.039,-31.808,0.048,247.688,-2.539,0.274,0.018,1,-1.188,0.037,1.879,0.042,8.17,0.061,42.06,      ,0.1,1,75,MWSC                     ,Haffner 17               
845,SAI_81           ,118.016,0.065,-28.129,0.052,244.584,-0.559,0.238,0.016,1,-2.09,0.045,2.997,0.042,8.13,0.075,69.82,2.8,0.4,2,49,MWSC                     ,SAI 81                   
846,NGC_2477         ,118.042,0.194,-38.535,0.163,253.568,-5.84,0.692,0.024,1,-2.423,0.007,0.906,0.008,8.915,0.007,8.75,0.1,0.02,34,443,MWSC                     ,NGC 2477                 
847,ESO_123-26       ,118.074,0.186,-60.4,0.068,273.153,-16.326,1.04,0.036,1,-3.665,0.24,11.065,0.344,8.53,      ,       ,      ,     ,  ,22,MWSC                     ,ESO 123-26               
848,SAI_82           ,118.11,0.047,-33.052,0.039,248.858,-3.008,0.643,0.046,1,-2.008,0.31,2.763,0.266,8.65,      ,       ,      ,     ,  ,28,MWSC                     ,SAI 82                   
849,Ruprecht_39      ,118.084,0.046,-22.455,0.042,239.739,2.397,0.476,0.026,1,-1.884,0.136,1.678,0.242,8.4,      ,       ,      ,     ,  ,60,MWSC                     ,Ruprecht 39              
850,Haffner_18       ,118.176,0.029,-26.399,0.035,243.171,0.449,0.205,0.016,1,-2.522,0.012,2.681,0.019,7.9,      ,       ,      ,     ,  ,71,Cantat-Gaudin et al. 2018,Haffner 18               
851,ASCC_42          ,118.212,0.159,-53.014,0.085,266.415,-12.855,1.433,0.036,1,-5.314,0.045,9.05,0.08,8.15,      ,16.01,      ,0.81,1,23,MWSC                     ,[KPR2005] 42             
852,ASCC_43          ,118.265,0.119,-28.205,0.097,244.762,-0.41,0.434,0.022,1,-1.991,0.118,2.161,0.163,8.215,      ,       ,      ,     ,  ,82,MWSC                     ,[KPR2005] 43             
853,FSR_1133         ,118.24,0.063,1.727,0.078,218.507,14.458,0.482,0.026,1,-1.878,0.287,-0.243,0.177,8.18,0.041,49.48,      ,0.12,1,26,MWSC                     ,[FSR2007] 1133           
854,FSR_1102         ,118.397,0.063,5.722,0.07,214.891,16.42,0.513,0.029,1,-2.167,0.293,-0.52,0.227,8.77,0.059,       ,      ,     ,  ,32,MWSC                     ,[FSR2007] 1102           
855,FSR_1298         ,118.415,0.068,-22.345,0.067,239.802,2.716,0.361,0.024,1,-2.314,0.124,2.03,0.137,8.435,0.059,74.55,      ,0.07,1,37,MWSC                     ,[FSR2007] 1298           
856,Ruprecht_41      ,118.441,0.039,-26.973,0.038,243.785,0.357,0.246,0.018,1,-2.56,0.04,3.601,0.038,8.865,      ,       ,      ,     ,  ,24,MWSC                     ,Ruprecht 41              
857,NGC_2479         ,118.77,0.073,-17.749,0.088,236.016,5.357,0.603,0.026,1,-4.34,0.027,1.079,0.022,9.015,0.016,39.02,0.45,0.07,3,44,MWSC                     ,NGC 2479                 
858,Waterloo_3       ,118.772,0.054,-25.368,0.053,242.563,1.439,0.292,0.025,1,-2.157,0.075,2.572,0.089,8.5,      ,       ,      ,     ,  ,31,MWSC                     ,Waterloo 3               
859,NGC_2482         ,118.793,0.09,-24.279,0.099,241.64,2.018,0.743,0.028,1,-4.641,0.022,2.255,0.022,8.505,0.086,39.37,0.05,0.03,2,41,MWSC                     ,NGC 2482                 
860,NGC_2483         ,118.924,0.057,-27.918,0.065,244.815,0.236,0.388,0.027,1,-1.895,0.151,2.522,0.19,7.6,      ,       ,      ,     ,  ,45,MWSC                     ,NGC 2483                 
861,Trumpler_9       ,118.92,0.026,-25.88,0.023,243.071,1.289,0.375,0.021,1,-3.381,0.027,3.082,0.028,7.8,      ,       ,      ,     ,  ,27,MWSC                     ,Trumpler 9               
862,Haffner_20       ,119.04,0.061,-30.375,0.046,246.969,-0.952,0.426,0.03,1,-2.251,0.091,3.102,0.121,8.055,      ,       ,      ,     ,  ,65,MWSC                     ,Haffner 20               
863,NGC_2489         ,119.071,0.06,-30.055,0.05,246.709,-0.762,0.502,0.023,1,-2.53,0.015,2.169,0.012,7.315,      ,       ,      ,     ,  ,72,MWSC                     ,NGC 2489                 
864,Ruprecht_42      ,119.42,0.069,-25.954,0.038,243.367,1.635,0.444,0.026,1,-2.381,0.123,2.363,0.139,8.7,      ,90.67,      ,0.15,1,56,MWSC                     ,Ruprecht 42              
865,FSR_1342         ,119.484,0.061,-31.51,0.065,248.136,-1.217,0.407,0.02,1,-2.293,0.082,2.776,0.125,8.29,      ,49.03,0.57,0.07,2,68,MWSC                     ,[FSR2007] 1342           
866,Turner_12        ,119.488,0.067,-29.275,0.056,246.232,-0.048,0.278,0.022,1,-2.092,0.09,2.842,0.128,8.49,      ,61.77,      ,0.04,1,57,MWSC                     ,Turner 12                
867,NGC_2516         ,119.489,0.617,-60.799,0.273,273.852,-15.889,2.429,0.042,1,-4.632,0.029,11.213,0.025,8.475,      ,23.48,0.21,0.12,32,306,MWSC                     ,NGC 2516                 
868,Kronberger_85    ,119.58,0.041,-34.787,0.036,250.976,-2.858,0.525,0.047,1,-2.335,0.363,2.945,0.291,8.5,      ,       ,      ,     ,  ,43,MWSC                     ,Kronberger 85            
869,FSR_1084         ,119.672,0.076,8.078,0.117,213.265,18.599,0.378,0.031,1,-1.043,0.207,-1.498,0.185,8.8,      ,       ,      ,     ,  ,23,MWSC                     ,[FSR2007] 1084           
870,Ruprecht_44      ,119.721,0.066,-28.584,0.07,245.749,0.488,0.208,0.014,1,-2.312,0.033,2.918,0.037,6.8,      ,       ,      ,     ,  ,38,MWSC                     ,Ruprecht 44              
871,FSR_1087         ,119.711,0.055,7.912,0.044,213.44,18.561,0.418,0.03,1,-0.959,0.363,-1.721,0.223,9,      ,36.59,      ,0.14,1,19,MWSC                     ,[FSR2007] 1087           
872,ESO_494-09       ,119.788,0.065,-27.602,0.066,244.945,1.054,0.416,0.021,1,-2.174,0.116,2.832,0.133,8.735,      ,61.73,2.15,0.29,2,53,MWSC                     ,ESO 494-09               
873,Ruprecht_43      ,119.844,0.094,-28.857,0.084,246.039,0.437,0.381,0.02,1,-2.01,0.232,2.165,0.281,8.4,      ,       ,      ,     ,  ,32,MWSC                     ,Ruprecht 43              
874,ESO_561-05       ,119.846,0.068,-22.689,0.073,240.782,3.669,0.397,0.024,1,-2.093,0.1,2.055,0.137,9,      ,64.79,      ,0.17,1,76,MWSC                     ,ESO 561-05               
875,FSR_1336         ,119.866,0.063,-30.723,0.037,247.637,-0.527,0.367,0.022,1,-2.498,0.12,2.843,0.143,8.635,0.064,       ,      ,     ,  ,59,MWSC                     ,[FSR2007] 1336           
876,Ruprecht_45      ,119.878,0.041,-16.3,0.038,235.311,7.009,0.206,0.014,1,-2.706,0.026,2.873,0.027,9.3,      ,       ,      ,     ,  ,11,MWSC                     ,Ruprecht 45              
877,FSR_1365         ,119.98,0.077,-36.202,0.086,252.354,-3.32,0.376,0.028,1,-2.175,0.164,3.097,0.265,9.01,0.048,       ,      ,     ,  ,106,MWSC                     ,[FSR2007] 1365           
878,NGC_2506         ,120.004,0.095,-10.766,0.105,230.56,9.937,0.305,0.021,1,-2.551,0.006,3.972,0.006,9.21,0.017,84.21,0.15,0.08,9,188,MWSC                     ,NGC 2506                 
879,FSR_1147         ,120.109,0.105,1.266,0.102,219.83,15.898,0.762,0.038,1,-3.108,0.442,-0.181,0.354,8.72,0.016,56.08,8.83,1.38,4,41,MWSC                     ,[FSR2007] 1147           
880,FSR_1379         ,120.066,0.102,-40.906,0.044,256.416,-5.716,0.431,0.035,1,-2.667,0.25,3.713,0.332,7.45,      ,       ,      ,     ,  ,32,MWSC                     ,[FSR2007] 1379           
881,NGC_2509         ,120.191,0.064,-19.06,0.068,237.842,5.836,0.374,0.02,1,-2.705,0.016,0.806,0.018,9.2,      ,60.35,0.12,0.04,5,59,MWSC                     ,NGC 2509                 
882,Haffner_21       ,120.256,0.06,-27.219,0.044,244.837,1.608,0.297,0.019,1,-1.419,0.05,1.626,0.058,8.625,0.094,       ,      ,     ,  ,30,MWSC                     ,Haffner 21               
883,FSR_1378         ,120.293,0.07,-40.688,0.065,256.319,-5.457,0.621,0.031,1,-5.682,0.02,11.953,0.034,8,      ,       ,      ,     ,  ,53,MWSC                     ,[FSR2007] 1378           
884,FSR_1360         ,120.383,0.055,-34.467,0.053,251.05,-2.127,0.348,0.023,1,-1.902,0.096,2.753,0.115,8.985,0.025,43.09,      ,0.12,1,40,MWSC                     ,[FSR2007] 1360           
885,ASCC_44          ,120.54,0.187,-50.596,0.11,264.986,-10.414,0.269,0.019,1,-2.236,0.175,3.855,0.219,7.9,      ,       ,      ,     ,  ,48,MWSC                     ,[KPR2005] 44             
886,ESO_311-21       ,120.418,0.03,-41.639,0.034,257.183,-5.872,0.303,0.014,1,-2.811,0.069,5.437,0.132,9.3,      ,79.59,      ,0.05,1,29,MWSC                     ,ESO 311-21               
887,FSR_1339         ,120.418,0.078,-30.7,0.059,247.868,-0.111,0.32,0.023,1,-2.04,0.072,2.475,0.097,8.99,0.021,       ,      ,     ,  ,47,MWSC                     ,[FSR2007] 1339           
888,Ruprecht_46      ,120.582,0.024,-19.467,0.011,238.385,5.939,1.008,0.034,1,-2.229,0.458,1.024,0.61,8.15,      ,49.49,      ,0.17,1,22,MWSC                     ,Ruprecht 46              
889,Ruprecht_47      ,120.573,0.104,-31.079,0.088,248.26,-0.199,0.291,0.02,1,-2.396,0.049,2.778,0.039,8.18,0.038,       ,      ,     ,  ,76,MWSC                     ,Ruprecht 47              
890,ESO_430-09       ,120.595,0.038,-29.769,0.041,247.159,0.512,0.277,0.019,1,-2.565,0.07,2.923,0.11,8.5,      ,70.97,      ,0.14,1,27,MWSC                     ,ESO 430-09               
891,Ruprecht_49      ,120.812,0.039,-26.771,0.039,244.72,2.265,0.547,0.024,1,-2.463,0.191,2.577,0.23,8.22,      ,       ,      ,     ,  ,36,MWSC                     ,Ruprecht 49              
892,Ruprecht_50      ,120.875,0.046,-30.852,0.048,248.205,0.142,0.394,0.021,1,-2.328,0.127,2.505,0.1,8.775,0.028,       ,      ,     ,  ,43,MWSC                     ,Ruprecht 50              
893,Ruprecht_51      ,120.896,0.041,-30.653,0.047,248.047,0.262,0.437,0.023,1,-2.312,0.145,2.946,0.226,8.77,0.028,65.74,      ,0.22,1,73,MWSC                     ,Ruprecht 51              
894,ESO_430-14       ,120.884,0.071,-31.392,0.051,248.666,-0.14,0.397,0.026,1,-2.506,0.137,2.814,0.144,7.21,      ,       ,      ,     ,  ,50,MWSC                     ,ESO 430-14               
895,FSR_1383         ,121.056,0.07,-41.257,0.054,257.109,-5.265,0.419,0.025,1,-3.019,0.266,3.393,0.275,9.12,      ,85.05,      ,0.12,1,39,MWSC                     ,[FSR2007] 1383           
896,NGC_2527         ,121.247,0.144,-28.172,0.135,246.112,1.845,1.586,0.027,1,-5.593,0.05,7.344,0.032,8.91,0.031,38.78,0.48,0.07,12,52,MWSC                     ,NGC 2527                 
897,Ruprecht_155     ,121.281,0.046,-31.817,0.038,249.207,-0.081,0.293,0.024,1,-2.397,0.141,2.939,0.199,8.57,      ,       ,      ,     ,  ,25,MWSC                     ,Ruprecht 155             
898,Ruprecht_52      ,121.29,0.069,-31.953,0.064,249.325,-0.148,0.42,0.027,1,-2.578,0.087,2.952,0.112,8.55,      ,       ,      ,     ,  ,71,MWSC                     ,Ruprecht 52              
899,ESO_430-18       ,121.764,0.168,-30.894,0.089,248.65,0.762,0.333,0.024,1,-2.123,0.209,3.02,0.268,8.875,0.036,       ,      ,     ,  ,37,MWSC                     ,ESO 430-18               
900,NGC_2533         ,121.76,0.062,-29.862,0.06,247.778,1.317,0.345,0.022,1,-3.169,0.023,5.081,0.033,8.365,      ,34.47,      ,0.31,1,38,MWSC                     ,NGC 2533                 
901,Teutsch_50       ,121.772,0.062,-36.072,0.041,253.014,-2.024,0.393,0.03,1,-2.612,0.182,3.025,0.247,9.48,      ,       ,      ,     ,  ,54,MWSC                     ,Teutsch 50               
902,SAI_86           ,122.063,0.033,-36.596,0.031,253.583,-2.11,0.248,0.019,1,-3.017,0.075,3.21,0.125,8.65,      ,       ,      ,     ,  ,37,MWSC                     ,SAI 86                   
903,NGC_2547         ,122.521,0.16,-49.189,0.163,264.437,-8.593,2.574,0.058,1,-8.545,0.055,4.342,0.042,7.89,      ,8.53,1.1,0.48,4,56,MWSC                     ,NGC 2547                 
904,FSR_1363         ,122.659,0.042,-34.615,0.044,252.183,-0.626,0.245,0.017,1,-1.552,0.077,1.958,0.062,8.5,      ,       ,      ,     ,  ,19,MWSC                     ,[FSR2007] 1363           
905,NGC_2539         ,122.666,0.157,-12.841,0.142,233.731,11.11,0.757,0.026,1,-2.326,0.014,-0.543,0.015,8.735,0.022,30.68,0.12,0.02,12,187,MWSC                     ,NGC 2539                 
906,FSR_1312         ,122.686,0.05,-23.265,0.063,242.666,5.579,0.357,0.023,1,-2.04,0.135,1.627,0.124,8.835,0.05,72.83,3.74,0.63,2,35,MWSC                     ,[FSR2007] 1312           
907,FSR_1446         ,122.725,0.058,-50.963,0.05,266.03,-9.422,0.476,0.03,1,-3.028,0.321,4.78,0.444,9.1,      ,       ,      ,     ,  ,43,MWSC                     ,[FSR2007] 1446           
908,Ruprecht_53      ,122.692,0.099,-26.923,0.088,245.751,3.598,0.437,0.029,1,-1.966,0.167,2.096,0.147,8.86,      ,69.35,4.15,0.71,2,34,MWSC                     ,Ruprecht 53              
909,FSR_1380         ,122.754,0.057,-39.976,0.038,256.719,-3.49,0.297,0.024,1,-2.247,0.048,1.948,0.049,8.99,0.035,       ,      ,     ,  ,32,MWSC                     ,[FSR2007] 1380           
910,Ruprecht_54      ,122.845,0.042,-31.948,0.033,250.036,0.964,0.262,0.023,1,-2.581,0.055,3.261,0.064,8.915,      ,       ,      ,     ,  ,26,MWSC                     ,Ruprecht 54              
911,FSR_1447         ,122.902,0.077,-51.047,0.044,266.162,-9.372,0.347,0.018,1,-3.069,0.284,4.568,0.464,9.1,      ,33.73,      ,0.12,1,41,MWSC                     ,[FSR2007] 1447           
912,FSR_1357         ,122.896,0.085,-32.249,0.075,250.311,0.836,0.318,0.02,1,-2.47,0.086,2.937,0.108,8.595,      ,44.8,3.95,0.49,5,64,MWSC                     ,[FSR2007] 1357           
913,NGC_2546         ,123.077,0.261,-37.675,0.187,254.928,-2.02,1.074,0.023,1,-3.715,0.014,3.946,0.017,8.135,0.072,7.07,10.4,1.05,3,98,MWSC                     ,NGC 2546                 
914,FSR_1335         ,122.986,0.049,-29.004,0.042,247.638,2.679,0.239,0.018,1,-2.524,0.17,2.692,0.162,9.205,0.064,103.29,3.54,0.66,2,29,MWSC                     ,[FSR2007] 1335           
915,Haffner_22       ,123.107,0.064,-27.904,0.068,246.775,3.371,0.355,0.024,1,-1.607,0.013,2.91,0.014,9.19,0.021,33.7,0.13,0.09,4,88,MWSC                     ,Haffner 22               
916,Ruprecht_55      ,123.147,0.071,-32.597,0.064,250.719,0.821,0.255,0.016,1,-2.616,0.051,2.934,0.102,6.97,      ,       ,      ,     ,  ,35,MWSC                     ,Ruprecht 55              
917,Ruprecht_56      ,123.111,0.169,-40.377,0.174,257.204,-3.48,0.418,0.024,1,-2.562,0.272,3.364,0.352,8.745,      ,       ,      ,     ,  ,152,MWSC                     ,Ruprecht 56              
918,SAI_88           ,123.254,0.047,-41.876,0.032,258.52,-4.212,0.471,0.04,1,-1.79,0.295,3.293,0.324,8.925,      ,       ,      ,     ,  ,23,MWSC                     ,SAI 88                   
919,NGC_2548         ,123.408,0.266,-5.711,0.27,227.826,15.394,1.294,0.035,1,-1.275,0.013,1.043,0.013,8.72,0.017,8.16,0.09,0.02,10,222,MWSC                     ,NGC 2548                 
920,Ruprecht_58      ,123.709,0.052,-31.93,0.047,250.425,1.585,0.326,0.02,1,-2.676,0.046,1.533,0.042,8.615,0.1,35.17,      ,0.1,1,46,MWSC                     ,Ruprecht 58              
921,Ruprecht_57      ,123.814,0.04,-26.946,0.052,246.32,4.422,0.485,0.026,1,-2.398,0.175,1.739,0.252,8.975,      ,55.26,5.87,1.04,5,32,MWSC                     ,Ruprecht 57              
922,Haffner_26       ,123.913,0.047,-30.835,0.044,249.611,2.338,0.334,0.019,1,-1.551,0.046,2.401,0.03,8,      ,54.72,      ,0.12,1,22,MWSC                     ,Haffner 26               
923,ASCC_46          ,124.171,0.091,-48.437,0.095,264.39,-7.272,0.465,0.032,1,-2.411,0.24,4.053,0.351,7.8,      ,       ,      ,     ,  ,98,MWSC                     ,[KPR2005] 46             
924,Pismis_2         ,124.527,0.092,-41.678,0.047,258.882,-3.312,0.239,0.021,1,-4.66,0.061,5.34,0.059,9.055,      ,       ,      ,     ,  ,71,MWSC                     ,Pismis 2                 
925,Pismis_1         ,124.58,0.033,-37.093,0.024,255.108,-0.704,0.198,0.011,1,-2.73,0.082,3.672,0.121,7.8,      ,       ,      ,     ,  ,21,MWSC                     ,Pismis 1                 
926,NGC_2567         ,124.64,0.071,-30.636,0.067,249.795,2.968,0.564,0.024,1,-2.956,0.016,2.619,0.018,8.645,0.068,34.14,      ,0.07,1,76,MWSC                     ,NGC 2567                 
927,NGC_2571         ,124.727,0.079,-29.751,0.066,249.104,3.527,0.74,0.032,1,-4.893,0.037,4.292,0.036,7.35,      ,       ,      ,     ,  ,54,MWSC                     ,NGC 2571                 
928,Ivanov_8         ,124.726,0.063,-35.634,0.02,253.969,0.215,0.418,0.013,1,-2.67,0.402,3.497,0.362,7.8,      ,       ,      ,     ,  ,33,MWSC                     ,[IBP2002] CC 8           
929,Moitinho_1       ,124.813,0.052,-45.2,0.031,261.925,-5.112,0.49,0.017,1,-2.298,0.248,3.137,0.372,8.635,      ,16.46,6.99,1.65,2,18,MWSC                     ,Moitinho 1               
930,Ruprecht_156     ,124.877,0.068,-45.338,0.057,262.065,-5.152,0.272,0.022,1,-2.625,0.14,3.644,0.159,9.31,0.048,       ,      ,     ,  ,53,MWSC                     ,Ruprecht 156             
931,NGC_2580         ,125.386,0.053,-30.303,0.048,249.883,3.687,0.239,0.017,1,-2.215,0.056,2.001,0.034,8.4,      ,70.02,      ,0.13,1,27,MWSC                     ,NGC 2580                 
932,AH03_J0822-36.4  ,125.519,0.085,-36.405,0.075,254.968,0.306,0.344,0.024,1,-2.713,0.128,3.11,0.164,8.915,      ,43.21,      ,0.06,1,87,MWSC                     ,Name AH03 J0822-36       
933,NGC_2588         ,125.794,0.084,-32.948,0.061,252.259,2.467,0.354,0.022,1,-2.53,0.096,2.853,0.084,8.9,      ,57.05,3,0.3,4,98,MWSC                     ,NGC 2588                 
